number of iterations required: 161
---utility for each state (row, column)---
(9, 67) - utility: 68.024
(9, 68) - utility: 67.303
(9, 69) - utility: 68.419
(9, 70) - utility: 69.544
(9, 71) - utility: 70.522
(9, 72) - utility: 69.158
(9, 74) - utility: 73.947
(9, 75) - utility: 74.221
(9, 76) - utility: 72.849
(9, 77) - utility: 71.693
(9, 78) - utility: 72.879
(9, 79) - utility: 70.607
(9, 82) - utility: 71.084
(9, 83) - utility: 71.206
(9, 84) - utility: 68.920
(9, 85) - utility: 69.585
(9, 86) - utility: 70.145
(9, 87) - utility: 68.981
(9, 88) - utility: 69.993
(9, 89) - utility: 71.080
(9, 90) - utility: 72.415
(9, 91) - utility: 71.127
(9, 93) - utility: 68.161
(9, 95) - utility: 67.099
(9, 96) - utility: 67.048
(9, 97) - utility: 65.563
(9, 98) - utility: 64.265
(9, 99) - utility: 64.045
(10, 0) - utility: 61.920
(10, 1) - utility: 63.897
(10, 2) - utility: 63.228
(10, 3) - utility: 64.288
(10, 4) - utility: 66.605
(10, 5) - utility: 68.065
(10, 6) - utility: 69.512
(10, 7) - utility: 70.854
(10, 8) - utility: 70.768
(10, 9) - utility: 69.456
(10, 10) - utility: 69.602
(10, 12) - utility: 73.286
(10, 13) - utility: 74.451
(10, 14) - utility: 74.834
(10, 15) - utility: 75.379
(10, 16) - utility: 74.534
(10, 17) - utility: 74.194
(10, 20) - utility: 72.633
(10, 21) - utility: 71.698
(10, 22) - utility: 70.416
(10, 23) - utility: 70.159
(10, 24) - utility: 69.641
(10, 26) - utility: 67.785
(10, 27) - utility: 68.974
(10, 29) - utility: 66.775
(10, 30) - utility: 66.973
(10, 31) - utility: 65.922
(10, 32) - utility: 66.364
(10, 33) - utility: 67.647
(10, 36) - utility: 70.471
(10, 37) - utility: 71.570
(10, 38) - utility: 72.361
(10, 39) - utility: 72.424
(10, 40) - utility: 74.586
(10, 41) - utility: 75.004
(10, 42) - utility: 75.255
(10, 44) - utility: 70.086
(10, 45) - utility: 71.068
(10, 46) - utility: 70.890
(10, 47) - utility: 68.672
(10, 48) - utility: 67.392
(10, 49) - utility: 67.877
(10, 50) - utility: 70.197
(10, 51) - utility: 70.210
(10, 52) - utility: 71.234
(10, 53) - utility: 71.237
(10, 54) - utility: 71.666
(10, 55) - utility: 72.862
(10, 56) - utility: 73.683
(10, 57) - utility: 73.574
(10, 58) - utility: 72.443
(10, 60) - utility: 66.222
(10, 62) - utility: 67.181
(10, 64) - utility: 67.689
(10, 65) - utility: 68.725
(10, 66) - utility: 69.209
(10, 67) - utility: 69.105
(10, 68) - utility: 66.959
(10, 70) - utility: 70.671
(10, 71) - utility: 72.008
(10, 74) - utility: 75.149
(10, 75) - utility: 74.354
(10, 78) - utility: 73.209
(10, 79) - utility: 70.789
(10, 81) - utility: 72.593
(10, 82) - utility: 72.256
(10, 83) - utility: 71.184
(10, 84) - utility: 69.001
(10, 85) - utility: 69.414
(10, 86) - utility: 71.539
(10, 88) - utility: 70.706
(10, 90) - utility: 72.637
(10, 91) - utility: 70.502
(10, 92) - utility: 68.292
(10, 93) - utility: 69.315
(10, 94) - utility: 69.179
(10, 95) - utility: 66.933
(10, 96) - utility: 67.053
